2025-09-16 03:56:20.725 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 52113ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 03:56:23.930 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 03:57:43.184 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 79253ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 03:57:50.531 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 03:57:50.532 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 03:58:32.575 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 42043ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 03:58:48.413 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 03:58:48.413 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 03:59:29.804 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 41391ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 03:59:32.543 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 04:00:32.312 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 59768ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 04:34:53.508 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 04:34:53.509 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 04:36:00.773 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 04:36:00.774 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 04:36:44.418 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 43643ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 04:40:51.138 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 04:40:51.139 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 04:41:38.159 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 47017ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 04:59:43.959 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 04:59:43.960 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 05:00:28.242 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 44280ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:00:34.836 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 05:01:05.699 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 05:01:05.700 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 05:01:48.513 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 42811ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:01:50.738 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 05:03:03.286 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 72547ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:03:52.146 [AWT-EventQueue-0] INFO  level - Level started - Number: 3, Name: Security Systems, Description: Introduce VPN and Anti-trojan systems with confidential packets
2025-09-16 05:05:09.712 [AWT-EventQueue-0] INFO  level - Level completed - Number: 3, Name: Level 3, CompletionTime: 77565ms, PacketsDelivered: 50, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:05:29.683 [AWT-EventQueue-0] INFO  level - Level started - Number: 4, Name: Heavy Traffic, Description: Handle bulky packets and complex distribution/merge systems
2025-09-16 05:06:43.859 [AWT-EventQueue-0] INFO  level - Level completed - Number: 4, Name: Level 4, CompletionTime: 74175ms, PacketsDelivered: 60, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:06:47.949 [AWT-EventQueue-0] INFO  level - Level started - Number: 5, Name: Master Challenge, Description: Master all game mechanics with maximum complexity and difficulty
2025-09-16 05:10:43.744 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 05:10:43.746 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 05:11:27.324 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 43573ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:13:26.635 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 05:14:46.264 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 79628ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:14:50.128 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 05:15:04.861 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 05:15:04.861 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 05:16:27.760 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 82896ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:16:30.867 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 05:16:30.867 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 05:16:49.276 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 05:16:49.276 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 05:17:33.909 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 44631ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:17:56.723 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 05:22:52.235 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 295511ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:23:53.159 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 05:24:18.505 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 05:24:18.506 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 05:25:03.597 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 45088ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 05:25:18.155 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 05:25:18.156 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 07:30:07.841 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 07:30:07.841 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 07:30:58.207 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 50356ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 07:31:47.827 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 07:32:55.649 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 67821ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 07:34:13.649 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 07:34:13.649 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 07:35:14.822 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 61171ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 07:35:34.496 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 07:35:34.497 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 07:36:09.175 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 07:36:09.175 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 07:37:03.458 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 54282ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 07:37:09.309 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 07:39:24.346 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 135037ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 07:39:34.998 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 07:45:52.844 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 07:45:57.361 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 07:45:57.362 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 07:46:49.795 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 52432ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
2025-09-16 07:46:57.183 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 07:46:57.183 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 07:48:47.889 [AWT-EventQueue-0] INFO  level - Level completed - Number: 2, Name: Level 2, CompletionTime: 110706ms, PacketsDelivered: 40, PacketLoss: 0, CoinsEarned: 0
2025-09-16 07:49:30.172 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 07:49:30.173 [AWT-EventQueue-0] INFO  level - Level started - Number: 2, Name: Packet Diversity, Description: Master different packet types with varying speeds and behaviors
2025-09-16 07:50:02.904 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 07:50:22.924 [AWT-EventQueue-0] INFO  level - Level 1 started - User: Mahdi
2025-09-16 07:50:22.925 [AWT-EventQueue-0] INFO  level - Level started - Number: 1, Name: Network Foundation, Description: Learn the basics of network routing with simple square and triangle packets
2025-09-16 07:51:10.841 [AWT-EventQueue-0] INFO  level - Level completed - Number: 1, Name: Level 1, CompletionTime: 47915ms, PacketsDelivered: 30, PacketLoss: 0, CoinsEarned: 0
